OBJECTID,DATE,Count_
228,2020/10/26 14:00:00+00,16819
229,2020/10/27 14:00:00+00,16859
230,2020/10/28 14:00:00+00,16910
231,2020/10/29 14:00:00+00,16971
232,2020/10/30 14:00:00+00,17023
233,2020/10/31 14:00:00+00,17093
234,2020/11/01 15:00:00+00,17178
235,2020/11/02 15:00:00+00,17252
236,2020/11/03 15:00:00+00,17312
237,2020/11/04 15:00:00+00,17363
238,2020/11/05 15:00:00+00,17435
239,2020/11/06 15:00:00+00,17537
240,2020/11/07 15:00:00+00,17627
241,2020/11/08 15:00:00+00,17730
242,2020/11/09 15:00:00+00,17833
243,2020/11/10 15:00:00+00,17914
244,2020/11/11 15:00:00+00,18012
245,2020/11/12 15:00:00+00,18139
246,2020/11/13 15:00:00+00,18281
247,2020/11/14 15:00:00+00,18458
248,2020/11/15 15:00:00+00,18576
249,2020/11/16 15:00:00+00,18688
250,2020/11/17 15:00:00+00,18812
251,2020/11/18 15:00:00+00,18959
252,2020/11/19 15:00:00+00,19134
253,2020/11/20 15:00:00+00,19282
254,2020/11/21 15:00:00+00,19434
255,2020/11/22 15:00:00+00,19636
256,2020/11/23 15:00:00+00,19769
257,2020/11/24 15:00:00+00,19914
258,2020/11/25 15:00:00+00,20068
259,2020/11/26 15:00:00+00,20280
260,2020/11/27 15:00:00+00,20512
261,2020/11/28 15:00:00+00,20713
262,2020/11/29 15:00:00+00,20877
263,2020/11/30 15:00:00+00,21051
264,2020/12/01 15:00:00+00,21206
265,2020/12/02 15:00:00+00,21395
266,2020/12/03 15:00:00+00,21558
267,2020/12/04 15:00:00+00,21756
268,2020/12/05 15:00:00+00,21912
269,2020/12/06 15:00:00+00,22095
270,2020/12/07 15:00:00+00,22259
271,2020/12/08 15:00:00+00,22421
272,2020/12/09 15:00:00+00,22622
273,2020/12/10 15:00:00+00,22833
274,2020/12/11 15:00:00+00,23009
275,2020/12/12 15:00:00+00,23189
276,2020/12/13 15:00:00+00,23393
277,2020/12/14 15:00:00+00,23558
278,2020/12/15 15:00:00+00,23711
279,2020/12/16 15:00:00+00,23908
280,2020/12/17 15:00:00+00,24136
281,2020/12/18 15:00:00+00,24310
282,2020/12/19 15:00:00+00,24422
283,2020/12/20 15:00:00+00,24623
284,2020/12/21 15:00:00+00,24758
285,2020/12/22 15:00:00+00,24955
286,2020/12/23 15:00:00+00,25072
287,2020/12/24 15:00:00+00,25072
288,2020/12/25 15:00:00+00,25541
289,2020/12/26 15:00:00+00,25717
290,2020/12/27 15:00:00+00,25851
291,2020/12/28 15:00:00+00,26078
292,2020/12/29 15:00:00+00,26247
293,2020/12/30 15:00:00+00,26447
294,2020/12/31 15:00:00+00,26636
295,2021/01/01 15:00:00+00,26819
296,2021/01/02 15:00:00+00,27051
297,2021/01/03 15:00:00+00,27196
298,2021/01/04 15:00:00+00,27367
299,2021/01/05 15:00:00+00,27542
300,2021/01/06 15:00:00+00,27711
301,2021/01/07 15:00:00+00,27900
302,2021/01/08 15:00:00+00,28068
